Num,ClusterLabelK11_Takahashietal2019,Code,Lon,Lat,Ve_wrt_S01R,Vn_wrt_S01R,sVe,sVn
0,0,JYAN,121.22634,24.24247,-9.17299109,17.77234465,0.5,0.5
2,1,SUAO,121.86707,24.59239,19.92935551,-24.52306646,0.4,0.6
1,1,SUAB,121.8679,24.59391,19.89490692,-25.19132149,1,1.7
4,2,S102,121.55815,22.03721,-68.80039884,48.71339774,1.5,1.6
3,2,LANY,121.5581,22.03731,-68.96235748,45.64518869,0.6,0.8
8,3,NEMN,120.42008,22.90812,-37.98955715,-4.866574509,0.4,0.3
7,3,GS53,120.39831,22.83998,-41.50671607,-7.61790793,0.7,0.6
6,3,CTOU,120.27784,22.75468,-39.05912073,-12.4653555,0.4,0.4
5,3,AKND,120.35726,22.80331,-39.52516519,-9.708311723,1,0.3
20,4,S104,121.18938,22.82076,-54.07619037,40.89750157,0.4,0.3
13,4,ERPN,121.16611,22.94217,-53.44494814,39.40301407,0.3,0.3
21,4,SINL,121.25462,22.90829,-50.17591102,42.10258843,0.5,0.3
9,4,CHEN,121.37358,23.0974,-53.00952314,43.54251321,0.3,0.2
18,4,NHSI,121.45301,23.40621,-45.03686564,46.31242525,0.6,0.4
19,4,PING,121.45434,23.31946,-48.41777113,47.7464076,0.4,0.3
17,4,KNKO,121.50574,23.47221,-48.46315708,47.12836095,0.3,0.3
14,4,FENP,121.51942,23.59845,-47.59633835,44.85252028,0.7,0.5
12,4,DULI,121.33059,23.02566,-48.22394739,43.88041588,1.1,0.7
15,4,JPIN,121.35889,23.34108,-42.29751152,43.95361781,0.4,0.3
22,4,TAPO,121.23741,23.12706,-46.58504583,41.214967,0.6,0.3
16,4,JSUI,121.42389,23.49198,-44.17376358,41.19270095,0.6,0.3
11,4,DCHU,121.28057,23.21318,-44.48158643,39.21579361,0.4,0.3
23,4,TUNH,121.30022,23.07516,-44.58868953,40.14783638,0.7,0.4
10,4,CHUN,121.3931,23.45285,-45.2316975,39.87710548,0.5,0.4
39,5,SGAN,120.34965,22.58127,-46.12690447,-19.29530212,0.4,0.4
38,5,LIUC,120.36907,22.34667,-52.26222622,-26.28516142,1.1,0.6
37,5,BANP,120.3054,22.69313,-48.91790053,-25.14038599,1.1,1.3
55,6,LIKN,120.5279,22.75861,-58.2208029,-5.708599636,0.7,0.6
63,6,YENC,120.37615,22.76351,-54.61517114,-10.41840109,1.4,1.1
58,6,PTUN,120.45968,22.64985,-56.66095416,-9.787046202,0.7,0.5
41,6,DONA,120.70351,22.91562,-54.57871228,1.524521474,0.4,0.3
53,6,LAOL,120.68729,22.41192,-53.97894621,1.507768491,1.3,0.8
