>	
120.5750689	23.65653878
120.5751506	23.65504605
120.5751617	23.65411248
120.5747217	23.65282855
120.5742691	23.65198321
120.5738823	23.65124036
120.5698685	23.6435305
120.568959	23.64102339
120.5676593	23.63615185
120.5672404	23.63393472
120.5671219	23.63123393
120.5670435	23.62919854
120.5669215	23.62755443
120.5669711	23.6254411
120.56651	23.62352214
120.5660904	23.62199459
120.5653737	23.62030961
120.5636418	23.61740859
120.5623346	23.61439651
120.5620695	23.61372167
120.5618495	23.61306604
120.5614975	23.61204159
120.5612789	23.61097658
120.5611937	23.60987101
120.5612589	23.60909716
120.5612627	23.60793825
120.5611912	23.60719952
120.5610456	23.60650603
120.5608498	23.606051
120.5602848	23.60539041
120.5598302	23.60491192
120.5593022	23.60421619
120.5588167	23.60327323
120.5582432	23.6020844
120.5579344	23.60142851
120.5575381	23.60036299
>	
120.5575388	23.6001583
120.5573661	23.59868403
120.5570597	23.5973322
120.5567283	23.59656189
120.556707	23.59651243
120.5564868	23.59593866
120.5558167	23.5949996
120.5551936	23.59385344
120.5553356	23.59312515
120.5560102	23.59171719
120.556339	23.58953223
120.5566514	23.58768642
120.5568771	23.58676367
120.5568376	23.58609663
120.5566043	23.58514692
120.5563163	23.58467027
120.5561062	23.58429914
120.5557593	23.58401602
120.554814	23.58374393
120.5535091	23.58278951
120.552956	23.5816309
120.5523051	23.5785908
120.5518922	23.57510634
120.5503969	23.57067603
120.5488284	23.56464497
120.5490782	23.55615051
120.5479092	23.54404239
120.5455025	23.53139739
120.545459	23.53116903
120.5452381	23.52985196
120.5449081	23.52875077
120.5446538	23.52813511
120.5438926	23.52669834
120.5436694	23.52609478
120.543334	23.52539481
120.54036	23.51722769
>	
120.3805242	23.07767044
120.3812484	23.07693533
120.3820345	23.07618898
120.3827588	23.07545395
120.3835196	23.0746655
120.3843124	23.0738845
120.3851159	23.07310596
120.3859086	23.07232495
120.3866694	23.07153631
120.3875657	23.07087028
120.3884834	23.07006851
120.3894011	23.06926682
120.3902973	23.06860069
120.3911938	23.06800426
120.392078	23.06739631
120.3929746	23.06679979
120.3940477	23.06621684
120.3950373	23.06564342
120.3960269	23.0650698
120.3971	23.06448684
120.3980463	23.06386952
120.3989409	23.06317434
120.3998354	23.06247915
120.4007817	23.06186164
120.4010049	23.06169001
120.4012281	23.06151846
120.4014512	23.06134683
>	
121.518989	23.59903908
121.5180859	23.5985438
121.517223	23.59808725
121.5164064	23.59788114
121.5152719	23.59750901
121.5144542	23.59701053
121.5135445	23.59617823
121.5126329	23.59484473
121.5114028	23.59317815
121.5106269	23.59176066
121.5098058	23.59038508
121.5096924	23.59025255
>	
121.5096924	23.59025255
121.508823	23.58929009
121.5078952	23.58851187
121.5069868	23.58797188
121.5057601	23.58718232
121.5049641	23.58641224
121.5043736	23.58603826
121.5036916	23.58545575
121.5030551	23.58491485
121.5025087	23.58424837
121.5020076	23.58353996
121.5015959	23.58253891
121.5013665	23.58178786
121.5010677	23.58068202
121.5007481	23.58005656
121.5004278	23.57922227
121.5002898	23.57867976
121.5001511	23.57797018
121.5000575	23.57717693
121.4996006	23.57617601
121.499099	23.5753423
121.4986892	23.57484242
121.4979153	23.57388429
121.4974609	23.57355161
121.496735	23.57330334
121.495692	23.57309784
121.4944226	23.57293481
121.4931078	23.57273016
121.49211	23.57248273
121.4915653	23.57223385
121.4906125	23.57190273
121.4898864	23.57161266
121.4892502	23.57111347
121.4884554	23.57063566
121.4878198	23.57030353
121.4872296	23.56997125
121.4867758	23.5698056
121.4862307	23.56943142
121.4858211	23.5689315
121.4855467	23.5682641
121.4851818	23.56759698
121.4848631	23.56718031
121.484363	23.56672244
121.4835001	23.56618217
121.4823185	23.56522522
121.4818183	23.56472557
121.4813177	23.5641424
121.4807272	23.56372656
121.4798647	23.5632698
121.478821	23.56285535
121.4779138	23.56256578
121.4771423	23.56223402
121.4762803	23.56190253
121.4755541	23.56157062
121.4746907	23.56086324
121.4742805	23.56019623
121.4738937	23.55971709
121.4735294	23.55921701
121.4731661	23.55896752
121.4725754	23.55850988
121.4721666	23.55821876
121.4716667	23.55780262
121.4711209	23.55721954
121.4707561	23.55655239
121.4705273	23.55592658
121.4704804	23.5554673
121.4702519	23.55492503
121.4697959	23.55409108
121.4690215	23.55292396
121.4683383	23.55188186
121.4677003	23.55083962
121.4669026	23.54948461
121.4664924	23.54877581
121.4662182	23.54810837
121.4658524	23.54714884
121.4655775	23.54627257
121.4653477	23.5453544
121.4651642	23.54468668
121.4647086	23.54397802
121.4639803	23.5429778
121.4634343	23.54231116
121.4624337	23.54118644
121.4614789	23.54018688
121.4606603	23.53927045
121.459977	23.53818654
121.4594536	23.53749894
121.4590436	23.53683189
121.458679	23.53620647
121.4577704	23.53545735
121.4570886	23.53479109
121.4560884	23.53374986
121.4552241	23.53270823
121.4543146	23.53166672
121.4539956	23.53112469
121.4536771	23.53070795
121.4533121	23.52995722
121.4530825	23.52903902
121.4530582	23.52855878
121.4530092	23.52747299
121.4530939	23.52576032
121.4532248	23.52429811
121.4531758	23.52321232
121.4532184	23.52241863
121.4533965	23.52154101
121.4536663	23.5209555
121.4537557	23.5206211
121.4537985	23.51986918
121.4537244	23.51809432
121.4535851	23.51709233
121.4533989	23.51563104
121.4533051	23.51467068
121.4532568	23.51379372
121.4531629	23.51283336
121.4532505	23.51195601
121.4533835	23.51112029
121.453832	23.50982422
121.4540556	23.50898823
121.4544593	23.50785936
121.4545477	23.5072326
121.454635	23.50627171
121.4545859	23.50514416
121.4543545	23.50372476
121.4541235	23.5023889
121.4538945	23.50163777
121.4534833	23.5005948
121.452845	23.49934366
121.4518436	23.49784297
121.451026	23.4971353
121.4499824	23.49655358
121.449651	23.49644115
>	
121.4342101	23.49380812
121.4339642	23.49373799
121.4328743	23.49282216
121.4316921	23.4913636
121.4303275	23.48948786
121.4297807	23.4884452
121.4292326	23.48698487
121.4285962	23.48623482
121.4275056	23.48506834
121.4270733	23.48442214
121.4263006	23.48350539
121.425755	23.48283861
121.4250737	23.4821722
121.4242092	23.48087978
121.4231633	23.47950431
121.4221632	23.47829578
121.4211189	23.47737974
121.4200303	23.47679794
121.4194176	23.47636103
121.4184646	23.47569532
121.4173754	23.47490467
121.4167848	23.47427974
121.4161944	23.47369658
121.4156034	23.47294636
121.4151036	23.47240472
121.4144225	23.47178002
121.4134693	23.47103075
121.4124257	23.47032347
121.4114732	23.46978302
121.4108835	23.46945044
121.4102932	23.46890902
121.4096572	23.46820065
121.4095633	23.46807159
121.408407	23.46701574
121.4073485	23.4664451
121.4072606	23.46641446
>	
