Code,Lon,Lat,Ve,sVe,Vn,sVn,Vu,sVu,ClusterLabelK11,Ve_wrt_S01R,Vn_wrt_S01R
8118,120.55298,23.46298,16.4 ,0.4 ,-7.7 ,0.5 ,1.0 ,3.0 ,7,-15.1 ,4.2 
AKND,120.35726,22.80331,-8.0 ,1.0 ,-21.6 ,0.3 ,3.2 ,1.4 ,3,-39.5 ,-9.7 
ALIS,120.81329,23.50817,2.9 ,0.3 ,-6.1 ,0.4 ,1.0 ,1.6 ,8,-28.6 ,5.8 
ANKN,121.52472,24.9591,33.6 ,0.3 ,-8.8 ,0.3 ,-1.8 ,1.5 ,7,2.1 ,3.1 
BALN,121.42612,24.69948,28.6 ,0.4 ,-3.0 ,0.3 ,-1.0 ,1.8 ,7,-2.9 ,8.9 
BANC,121.4421,24.99765,33.1 ,0.3 ,-9.0 ,0.4 ,-1.1 ,1.8 ,7,1.6 ,2.9 
BANP,120.3054,22.69313,-17.4 ,1.1 ,-37.0 ,1.3 ,2.6 ,6.2 ,5,-48.9 ,-25.1 
BLOW,121.57124,24.17175,22.8 ,0.5 ,-6.1 ,0.5 ,1.8 ,2.9 ,7,-8.7 ,5.8 
C001,120.61239,23.41794,7.1 ,0.3 ,-4.5 ,0.5 ,2.5 ,2.0 ,8,-24.4 ,7.4 
C002,120.57719,23.36174,6.2 ,0.3 ,-5.5 ,0.4 ,4.4 ,1.8 ,8,-25.3 ,6.4 
CHEN,121.37358,23.0974,-21.5 ,0.3 ,31.6 ,0.2 ,-1.1 ,1.6 ,4,-53.0 ,43.5 
CHIA,120.4332,23.49597,22.8 ,0.2 ,-8.6 ,0.3 ,-1.8 ,1.4 ,7,-8.7 ,3.3 
CHIH,121.20598,23.11584,-2.9 ,0.9 ,6.1 ,0.3 ,-4.0 ,3.0 ,10,-34.4 ,18.0 
CHIN,120.58215,24.27101,31.2 ,0.7 ,-12.5 ,1.0 ,4.0 ,5.0 ,7,-0.3 ,-0.6 
CHIU,120.8289,23.94538,13.7 ,0.6 ,-0.1 ,0.3 ,2.4 ,1.9 ,8,-17.8 ,11.8 
CHKU,120.09275,23.05584,29.3 ,0.2 ,-12.7 ,0.2 ,-3.5 ,1.1 ,7,-2.2 ,-0.8 
CHNL,120.56347,23.37714,13.2 ,3.4 ,-1.0 ,3.3 ,-5.0 ,16.6 ,8,-18.3 ,10.9 
CHNT,121.66189,24.14921,21.0 ,0.5 ,-8.9 ,0.6 ,-1.9 ,3.1 ,7,-10.5 ,3.0 
