Code,Site_name,PlateName,Type,lon,lat,Eastward[mm/a],Northward[mm/a],Error_east,Error_north,Error_east2,Error_north1
DAEJ,23902M002,Amurian,P,127.374,36.399,26.78,-12.82,0.043,0.048,-0.112,0.173
ULAB,24201M001,Amurian,P,107.052,47.865,28.3,-8.7,0.039,0.048,0.208,-0.162
7237,21611S001,Amurian,LP,125.443,43.791,26.35,-12.18,0.236,0.253,0.196,0.499
MAW1,66004M001,Antarctica,P,62.871,-67.605,-3.68,-2.26,0.029,0.028,-0.121,0.005
DUM1,91501M001,Antarctica,DP,140.002,-66.665,8.12,-11.96,0.04,0.051,0.148,0.494
FLM5,66061M002,Antarctica,P,160.271,-77.533,8.3,-12.02,0.247,0.276,-0.234,-0.109
ROB4,66063M002,Antarctica,P,163.19,-77.034,9.17,-11.69,0.164,0.182,-0.119,-0.007
FTP4,66062M002,Antarctica,P,162.565,-78.928,8.32,-11.73,0.252,0.278,-0.198,0.025
MCM4,66001M003,Antarctica,P,166.669,-77.838,9.77,-11.34,0.029,0.031,0.053,0.039
VESL,66009M001,Antarctica,P,357.158,-71.674,-0.29,10.16,0.052,0.058,0.133,-0.419
COTE,66096M001,Antarctica,P,161.998,-77.806,8.6,-11.68,0.055,0.069,-0.194,0.113
KERG,91201M002,Antarctica,DP,70.256,-49.351,4.7,-3.79,0.034,0.037,0.225,-0.066
CLRK,66104M001,Antarctica,P,218.126,-77.34,17.38,-1.72,0.113,0.132,0.668,1.057
SCTB,66071M001,Antarctica,P,166.758,-77.849,9.51,-10.57,0.081,0.103,-0.214,0.808
DAV1,66010M001,Antarctica,P,77.973,-68.577,-2.94,-5.39,0.035,0.039,0.029,0.051
BUMS,66107M001,Antarctica,P,174.499,-85.961,8.08,-10.61,0.138,0.147,-0.322,0.041
7342,66006S004,Antarctica,PR,39.586,-69.006,-3.54,2.77,0.337,0.343,0.575,-0.102
CRQB,91301S003,Antarctica,DP,51.856,-46.432,4.88,-0.16,0.806,0.533,-0.346,-0.461
BAHR,24901M002,Arabia,P,50.608,26.209,31.49,30.19,0.041,0.039,-0.167,-0.08
NAMA,20103M001,Arabia,P,42.045,19.211,34.62,27.32,0.05,0.046,0.082,0.051
SOLA,20101M001,Arabia,LP,46.401,24.911,31.78,29.02,0.048,0.047,0.16,0.184
KARR,50139M001,Australia,P,117.097,-20.981,38.87,58.24,0.036,0.033,-0.029,0.022
