>	
120.2522167	23.03201465
120.2488969	23.02765369
120.2472661	23.02473579
120.2447426	23.02084356
120.2426675	23.01709201
120.2417834	23.01479551
120.2408149	23.008692
120.2404687	23.00656903
120.2401225	23.00444606
120.2397741	23.00272072
120.2395719	23.00046586
120.2394754	22.99850971
120.2393432	22.99655349
120.2391753	22.99456395
120.2390463	22.99201105
120.2389137	22.99012111
120.2387154	22.98717015
120.2380624	22.98232769
120.2377938	22.97914438
120.2373086	22.97629147
120.2362533	22.97297188
120.2355183	22.96998528
120.234395	22.96603534
120.2336563	22.96371149
120.2327404	22.96108858
120.2322134	22.9593293
120.2308042	22.95534499
120.2301025	22.95282253
120.2287966	22.94956787
120.2280878	22.948338
120.2272359	22.94707428
120.2263475	22.94594296
120.2250329	22.9442461
120.2228973	22.94214739
120.2205107	22.94018017
120.2155097	22.93849814
120.2119323	22.93821527
120.2084258	22.93806524
>	
120.4568407	23.38140176
120.4558561	23.3787064
120.4552338	23.37704018
120.4548204	23.37576614
120.4537769	23.37375648
120.4528959	23.37135512
120.4522759	23.369444
120.450413	23.36468971
120.4496424	23.36267903
120.4493026	23.36222363
120.448964	23.3614873
120.4486667	23.36070208
120.4480825	23.35966654
120.4478391	23.35910889
120.4476507	23.35841381
120.4474486	23.35756825
120.4471039	23.35673067
120.446962	23.35631479
120.446223	23.35520283
120.4459549	23.35413652
120.4456794	23.35367556
120.4452945	23.35288286
120.4448345	23.35208553
120.4445483	23.3515279
120.4441495	23.35096657
120.4437673	23.35045265
120.4433326	23.34974494
120.4428253	23.34909784
120.4420481	23.34798232
120.4414037	23.34723883
120.4410834	23.34686312
120.4404575	23.34543357
120.4401209	23.34422983
120.4397639	23.34294776
120.4394754	23.34221466
120.4388985	23.34044043
120.4382344	23.33837976
120.437402	23.33701477
120.4369858	23.33633223
120.4362251	23.33525699
120.4360614	23.33483154
120.435935	23.33441709
120.4357677	23.33358851
120.4357664	23.33341773
120.4358515	23.33316167
120.4359639	23.33262325
120.4361161	23.33197324
120.4363133	23.33077141
120.4364908	23.32919495
120.4365696	23.32764039
120.4361061	23.32607227
120.435014	23.32362156
120.4339204	23.32136677
>	
120.4233287	23.04264321
120.4269012	23.03929247
120.429691	23.03692214
120.4328724	23.0339838
120.4362752	23.03120151
120.4412993	23.02619968
120.443698	23.02418984
120.4465432	23.02171591
120.4517324	23.01697295
120.4556372	23.01357102
>	
120.3708478	23.09126167
120.3711043	23.09021717
120.3713606	23.08917258
120.3716171	23.08812807
120.3721414	23.08719381
120.3726657	23.08625955
120.3731899	23.08532519
120.3738644	23.08456327
120.3745387	23.08380126
120.3752132	23.08303925
120.3759712	23.08230881
120.3767293	23.08157827
120.3774874	23.08084773
120.378246	23.0800081
120.3790045	23.07916838
120.3797632	23.07832866
120.3805217	23.07748893
>	
120.4233841	23.04269515
120.4226579	23.04348167
120.4219317	23.04426827
120.4212056	23.04505478
120.4204795	23.04584128
120.4195682	23.04656235
120.4186569	23.04728351
120.4177457	23.04800467
120.4169083	23.04879508
120.4160708	23.04958548
120.4152334	23.05037589
120.4144298	23.05106626
120.4136261	23.05175673
120.4128225	23.05244718
120.4120188	23.05313764
120.4112151	23.05382809
120.4104896	23.05444631
120.4097641	23.05506462
120.4090385	23.05568283
120.4083129	23.05630114
120.4075874	23.05691944
120.4068618	23.05753773
120.4058388	23.05834463
120.4048158	23.05915153
120.4037928	23.05995833
120.4026962	23.06066921
120.4015994	23.06135696
120.4005028	23.06206765
>	
121.2267713	24.90827891
121.2151799	24.90867365
121.1739875	24.90948252
121.1505929	24.90686499
121.1345713	24.90392823
121.122814	24.90142008
121.1138976	24.89941252
121.1064018	24.89790708
121.0985115	24.89596981
121.0899318	24.89294379
121.0814678	24.88950448
121.0708962	24.88713548
121.0628492	24.88490859
121.0566956	24.88260861
121.0507	24.88059613
121.0445472	24.87944687
121.0369409	24.87710832
121.0319736	24.87522161
>	
121.6261905	25.24034888
121.6252333	25.23993469
121.6239563	25.23932066
121.6218653	25.23846896
121.6203403	25.23770323
121.6189566	25.23687254
121.6156207	25.23473091
121.6122502	25.23271804
121.6077106	25.23029165
121.6061135	25.22920434
121.6039841	25.22776529
121.6012516	25.22594258
121.5977739	25.22360808
121.5929466	25.22008851
121.584818	25.21397588
121.5841425	25.21323857
121.5832553	25.21259862
121.5810933	25.21160977
121.578577	25.21049359
121.5745734	25.20893273
121.5717385	25.20772115
121.5700728	25.20695543
121.5680893	25.20628743
121.5663888	25.20565049
121.5648296	25.20494865
121.5635529	25.20418137
121.561921	25.20306152
121.5608918	25.2022611
121.5596142	25.20126858
121.556596	25.19854526
121.555318	25.19745618
121.5540402	25.19639926
121.5526922	25.19547129
121.5519125	25.19508812
121.5514156	25.19467173
121.5498912	25.19380873
121.5481902	25.19297854
121.54617	25.19195647
121.543759	25.19048539
121.5425887	25.18971753
121.5409576	25.18869397
121.5395385	25.18760526
121.5380844	25.18661319
121.5366657	25.18562097
121.5355656	25.18472411
121.534749	25.18395491
121.533649	25.18305803
121.5321236	25.18190529
121.53067	25.18097749
121.5292525	25.18024258
121.5228729	25.17666185
121.5187261	25.17426345
121.5154709	25.17222294
121.5132699	25.17083022
121.5064598	25.16474531
121.4987257	25.15881073
121.4926452	25.15420849
121.4872566	25.14951189
121.4817662	25.14466113
121.4812902	25.14433153
121.4800265	25.14328462
121.4790261	25.14247571
121.4761003	25.14015632
121.4752051	25.13939482
121.474253	25.13815742
121.4718787	25.13486864
121.4675048	25.13015293
121.4660817	25.12853312
121.4634985	25.12543594
121.4620741	25.1234339
121.4609134	25.12176545
121.4592781	25.11947739
121.4581699	25.11780875
121.4565882	25.11580714
121.4545849	25.11328129
121.4499994	25.10770577
121.4467873	25.10456242
121.4454176	25.10303778
121.4439944	25.10122664
121.4420428	25.09836605
121.4383509	25.09293079
121.4341314	25.08658928
121.432705	25.08377479
121.4316487	25.08172359
121.4302739	25.07862228
121.4297441	25.07714282
121.4293207	25.07604525
121.4288442	25.0748045
121.428368	25.07361153
121.4271499	25.07027086
121.4260889	25.06683418
121.4252936	25.06435221
121.424285	25.06086759
121.4225368	25.05580852
121.4198926	25.04941429
121.4180978	25.04597961
121.4173599	25.04488288
121.4168318	25.04378556
121.416302	25.04296178
121.415249	25.04097131
121.4144568	25.03930143
121.4136121	25.03763168
121.4129782	25.03624799
121.4120808	25.03448284
121.4109724	25.03233606
121.4096506	25.02904328
121.4086421	25.02536744
121.40811	25.02302796
121.4077866	25.02035348
121.4076231	25.01849073
121.4076196	25.0174397
121.4075593	25.01505114
121.4081117	25.00769237
>	
121.0140796	24.80315813
121.0125747	24.80327771
121.0081911	24.80345717
120.9998164	24.80357684
120.9965118	24.80354869
120.9890135	24.80277431
120.9874873	24.80229775
120.9857621	24.80199992
120.9837714	24.80140419
120.9791933	24.7997364
120.9778663	24.79914077
120.9750797	24.79735393
120.9724922	24.79640077
120.9712316	24.79580501
120.9696392	24.79532843
120.9683787	24.79473264
120.9646632	24.79401729
120.9618766	24.79377843
120.9600187	24.79377794
120.9529187	24.79460949
120.9505295	24.79591868
120.9481406	24.7965134
120.9451549	24.79615508
120.943629	24.79567807
120.9403118	24.79496226
120.9363975	24.79376977
120.9328813	24.79305362
120.9306919	24.79269545
120.9273088	24.79138379
120.9258493	24.7911449
120.9220681	24.78977333
120.921206	24.78911803
120.9196804	24.78834302
120.9176904	24.7877465
120.9160321	24.78703105
>	
121.5217771	23.60394373
121.5212899	23.6035324
121.5205109	23.60286283
121.5190558	23.60203151
121.5173406	23.6010099
121.5161455	23.60036881
121.5137566	23.59940913
121.5131585	23.59893328
121.5127135	23.59783575
121.5123961	23.59621218
121.5120559	23.59540099
121.5115865	23.5946858
121.5109879	23.59409048
121.5104668	23.59342324
121.5102305	23.5926356
121.5099143	23.59132261
121.5096924	23.59025255
>	
121.5218181	23.6009274
121.5217208	23.60087052
121.5202666	23.59987302
121.5192214	23.5991665
121.518989	23.59903908
>	
121.449651	23.49644115
121.4483955	23.49601519
121.4472164	23.49551738
121.4462188	23.49514434
121.445086	23.49493874
121.4437268	23.49477555
121.4423227	23.49469601
121.4412361	23.49478263
121.4395611	23.49495443
121.4376131	23.49475108
121.4360044	23.49444233
121.4346894	23.49394481
121.4342101	23.49380812
>	
121.1600785	22.958515
121.1597322	22.9574928
121.159248	22.95653463
121.1584185	22.955449
121.1576187	22.95464008
121.1565855	22.95368535
121.155638	22.9523685
121.155105	22.9510757
121.1547178	22.94963798
121.154789	22.94809364
121.154694	22.9470417
121.1542753	22.94543992
121.1533987	22.94439839
121.1527615	22.94312498
121.1523534	22.94163901
121.1519977	22.94040393
121.1511701	22.93807856
121.1509446	22.93698631
121.1507361	22.9356444
121.1499065	22.93417525
121.1485935	22.932387
121.1472806	22.93066265
121.1467275	22.92964061
121.1455522	22.92746874
>	
121.1407059	22.91162339
121.1411187	22.91053654
121.1414627	22.90957758
121.1417378	22.90881042
121.1417371	22.9081074
121.1415981	22.90708496
121.1413898	22.90580694
121.1411809	22.90401764
121.1412485	22.90261155
121.1413856	22.9017806
121.1413847	22.90094976
121.1413146	22.89986335
121.1413139	22.89916034
121.1413132	22.89852123
121.1411739	22.89724315
121.1410344	22.89570943
121.1411712	22.89462283
121.1415827	22.89225778
121.1420639	22.8907235
121.1423389	22.88982851
121.1426833	22.88931691
121.1427516	22.88867775
121.142681	22.88714396
121.1425415	22.88561024
121.1423333	22.88439612
121.1415725	22.88247949
121.1406052	22.88088258
121.1395693	22.8796692
121.1381196	22.87839225
121.1374982	22.8778176
121.1367386	22.87685959
121.1363927	22.87590123
121.136391	22.87417565
121.1365265	22.87283194
>	
121.1411712	22.89462283
121.141032	22.89340865
121.1405479	22.89219478
121.1398569	22.89104501
121.1395112	22.89027839
121.139234	22.88906433
121.1386859	22.88806073
>	
121.145414	22.92734105
121.1447232	22.92651085
121.14417	22.92536097
121.1428534	22.91999371
121.1419521	22.91584035
121.1403169	22.91034237
121.1399578	22.90865407
121.1388774	22.90070861
121.1388718	22.89516268
121.1386859	22.88806073
121.1380865	22.87840322
>	
121.1352487	22.86826891
121.1339523	22.86442434
121.1330646	22.86108377
121.1321071	22.8557889
121.1313542	22.85106125
121.1306014	22.84627054
121.1301913	22.84425348
121.1293045	22.84154332
121.1284864	22.83958962
121.1278724	22.83763575
121.1273254	22.83454704
121.1271202	22.83334937
121.1261666	22.83183708
121.1248729	22.830262
121.1235789	22.82843473
121.1227617	22.82723753
121.1220123	22.82585114
121.1213307	22.82414947
121.1205802	22.8215022
121.1200343	22.81935911
121.1194883	22.81715298
121.1187379	22.81444265
121.1179877	22.81204753
121.1174421	22.81021966
121.1167603	22.8081397
121.1162834	22.80713135
121.1156703	22.80587091
121.1149893	22.80473661
121.114172	22.80309805
>	
121.6024884	23.94431963
121.5955482	23.93267002
121.5907709	23.92646816
121.5865285	23.92031867
121.5805555	23.91199302
121.5747626	23.90393927
121.5710618	23.89915139
121.56805	23.89577955
121.5647718	23.89251775
121.5619738	23.89050911
121.5596541	23.88926259
121.556735	23.88665408
121.5542332	23.88442596
121.5492839	23.87876898
121.5466874	23.87512239
121.5422771	23.87049999
121.5381	23.86478534
121.5362506	23.86233638
121.5345173	23.8592322
121.5325453	23.85580145
121.5280732	23.85025122
121.5244957	23.84578911
121.521389	23.84034314
121.5194742	23.83620266
121.5181811	23.83173267
121.5174535	23.82775186
121.5165493	23.82409902
121.5162423	23.82148092
121.5155696	23.81635403
121.5145433	23.81177397
121.5128604	23.80610478
121.5095624	23.79683959
121.5082395	23.79215132
121.5066846	23.78877337
121.5030494	23.78409262
121.4995388	23.78093921
121.4973089	23.77925487
121.4955239	23.77762364
121.4935596	23.775611
121.4915332	23.77283461
121.4903402	23.77092861
121.4891418	23.76754933
121.4880027	23.76416985
121.4865655	23.76033295
121.4844742	23.75591969
121.4824389	23.75057859
121.4823169	23.74965135
121.4817154	23.74730689
121.4805793	23.7446367
121.4802723	23.74174565
121.480018	23.73705376
121.4804644	23.72946769
121.4806692	23.72066009
121.4807093	23.71542161
121.4798039	23.71094999
121.4791441	23.70876938
121.4771733	23.70462844
121.4759182	23.70168572
121.4757357	23.70037669
121.4753714	23.69797689
121.4748903	23.69601398
121.4725275	23.68986612
121.470499	23.68599808
121.4680545	23.6817493
121.4650172	23.67733856
121.4613881	23.67309322
121.4589464	23.66949907
121.4556116	23.66456517
121.4537054	23.66151503
121.4517395	23.6583559
121.4509345	23.65697251
121.4502763	23.65566977
121.4502602	23.65563386
>	
121.4502602	23.65563386
121.4492882	23.65346474
121.4482606	23.65154182
121.4481369	23.65131036
121.4462733	23.64790354
>	
121.4072606	23.46641446
121.4056981	23.46613452
121.404338	23.46588084
121.4030126	23.46556275
121.4012679	23.46489207
121.3997323	23.46418867
121.3980211	23.46306774
121.3972919	23.4626601
>	
121.3972919	23.4626601
121.3965898	23.4622676
121.3954024	23.46146682
121.3940401	23.46044141
121.3929829	23.45945808
121.3914889	23.45806861
121.3894621	23.45620888
121.389407	23.45612763
>	
120.3305563	22.87862321
120.3284877	22.87628431
120.327898	22.87518479
120.3261247	22.87325839
120.3258302	22.8725713
120.3246492	22.87092105
120.3240587	22.87009597
120.3228791	22.8678967
120.322493	22.8664704
120.3219086	22.86489992
120.3215788	22.86317372
120.3209148	22.86058369
120.320417	22.85862158
120.3198369	22.85618871
120.3195075	22.8543841
120.3192611	22.85289345
120.3188456	22.85140208
120.3185146	22.84991107
120.3181837	22.84842006
120.3179378	22.84685101
120.3175262	22.84457565
120.3172869	22.84167383
120.3170464	22.8390072
120.3167198	22.8366538
120.3167468	22.83494062
120.3166078	22.83164637
120.316022	22.82917422
120.3160289	22.8267039
120.3148518	22.82381837
120.3147083	22.82217097
120.3138283	22.81901179
120.3132427	22.81653973
120.3130976	22.81544134
120.3126586	22.81351865
120.3123681	22.81145914
120.3116344	22.80898661
>	
120.7415466	21.99482918
120.7419853	21.99100423
120.7426799	21.98895156
120.7464146	21.97699722
120.7475864	21.97357608
>	
120.7085406	22.09614796
120.7098953	22.09186895
120.7146633	22.08348315
120.7202923	22.07096803
120.7212887	22.06748254
120.7236367	22.06072298
120.7261145	22.05503324
120.7366208	22.02701886
120.7413413	22.01443402
120.7466553	21.99779847
120.7482221	21.98897111
120.7482537	21.98686617
120.7483489	21.98187285
120.7489586	21.97889381
120.7504577	21.97207196
120.7525824	21.9653957
120.7547876	21.96080697
>	
120.6255311	22.69465998
120.6248733	22.69109727
120.6244711	22.68559974
120.6243174	22.68079954
120.6249094	22.67785909
120.6241719	22.67294913
120.6231829	22.66853404
120.6223572	22.66543542
120.6225309	22.66292752
120.6207983	22.6559559
120.6203099	22.65154197
120.6194863	22.64774658
120.6179215	22.6405121
120.6172691	22.63516876
120.6169477	22.63075521
120.6167878	22.62827748
120.6168859	22.62296689
120.6166311	22.62123874
>	
120.7038766	23.12510455
120.7016581	23.12259246
120.7008586	23.12161041
120.6999378	23.12047929
120.6983629	23.1188189
120.6964612	23.11703948
120.6944268	23.11525134
120.69127	23.11298758
120.6886138	23.11016033
120.6872866	23.10841318
120.6850176	23.10615104
120.6827507	23.10301661
120.6795977	23.09936726
120.6772996	23.09575561
120.6752812	23.09245966
120.6708979	23.08623271
120.6655174	23.07812664
120.6626998	23.07381063
120.6603255	23.06894704
120.6581742	23.06512514
120.6561873	23.06104606
120.6555745	23.05966187
120.6551986	23.05881265
120.6548442	23.05784435
120.6534368	23.05286645
120.651674	23.04839861
120.6504125	23.045242
120.6499026	23.0438426
120.6495283	23.0424682
120.6490976	23.0405238
120.6484347	23.03690603
120.6477125	23.03330729
120.6471681	23.03165564
120.6466251	23.02945383
120.6461006	23.02718605
120.6455884	23.02524336
120.6455714	23.02517878
>	
120.6455829	23.02525697
120.6439694	23.0229633
120.6433745	23.02209003
120.6422193	23.02015985
120.6419051	23.01963481
120.6408891	23.01746082
120.6401384	23.01514731
120.6392294	23.0121071
120.6388635	23.01094061
120.6385905	23.01014747
120.6384816	23.00955998
120.6381762	23.00814975
120.6380672	23.0074789
120.6379269	23.00647055
120.6377941	23.00521021
120.6377353	23.00479576
120.6377063	23.00439846
120.6375689	23.00400946
120.6373537	23.00341098
120.636985	23.00236367
120.6368386	23.00191912
120.6367053	23.00172233
120.6363491	23.00120468
120.6359033	23.00056723
120.6355723	23.0001009
120.634812	22.99888182
120.6346007	22.99853536
120.6343412	22.9981119
120.6342451	22.9977956
120.6341219	22.99727849
120.6338038	22.99634234
120.6336755	22.99601742
120.6336711	22.99592771
120.6336575	22.99582944
120.6336624	22.99573121
120.6336955	22.99542375
120.6336796	22.99268349
120.6339025	22.98966075
120.6344288	22.98572377
120.6353386	22.9829015
120.6372819	22.97920644
120.638405	22.97694155
120.6390121	22.97483461
120.6395759	22.9728469
120.6399232	22.97145539
120.6401619	22.970541
120.6402107	22.96835321
120.640257	22.96708036
120.640135	22.96449439
120.6400576	22.96127205
120.6393669	22.95442833
120.6392881	22.95176289
120.6392915	22.95048994
120.6392525	22.94897822
120.6393418	22.94770546
120.6401192	22.9380009
120.6401195	22.93789114
>	
120.640127	22.93789115
120.6402381	22.92821472
120.6394196	22.92349228
120.6380104	22.91183129
120.637248	22.90690373
120.6355831	22.89860569
120.6341945	22.88697403
120.6335972	22.8838459
120.6310655	22.87831997
120.6292102	22.87411507
120.6275151	22.86988582
120.6261203	22.86518019
120.6245741	22.86116788
120.6223807	22.85588822
120.6203152	22.85079317
120.6198402	22.84901296
120.6195266	22.84673895
120.6194258	22.84466312
120.6193294	22.84095648
120.6193646	22.83676672
120.6193738	22.83347963
120.6192084	22.83075333
120.618948	22.82879305
120.618649	22.82600639
120.6182912	22.82236675
120.6177495	22.81866981
